species,Phylum,Class,Order,Family,source,specimens barcoded,specimens,public BINs,verified by,status,BOLD taxid,BOLD taxid,BOLD taxid,BOLD taxid,BOLD taxid
Abraxas grossulariata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,40,47,6,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=123771">link 123771</a>,
Abraxas pantaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,7,9,1,,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195508">link 195508</a>,
Abraxas sylvata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,38,49,3,FD,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=110171">link 110171</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=274675">link 274675</a>,
Acanthovalva inconspicuaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,43,53,2,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=92113">link 92113</a>,
Acasis appensata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,24,28,2,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=224482">link 224482</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=455053">link 455053</a>,
Acasis viretata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,37,40,2,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=177435">link 177435</a>,
Adactylotis contaminaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,11,14,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141362">link 141362</a>,
Adactylotis gesticularia,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,10,12,1,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=151045">link 151045</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=647277">link 647277</a>,
Adalbertia castiliaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,4,4,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195507">link 195507</a>,
Aethalura punctulata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,36,38,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=110105">link 110105</a>,
Afriberina salemae,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,
Afriberina tenietaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,7,8,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=155604">link 155604</a>,
Afriberina terraria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,12,14,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=398659">link 398659</a>,
Agriopis aurantiaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,106,139,1,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=98702">link 98702</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195486">link 195486</a>,
Agriopis bajaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,30,50,5,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=151055">link 151055</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=451315">link 451315</a>,
Agriopis budashkini,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,9,20,1,,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=224499">link 224499</a>,
Agriopis leucophaearia,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,617,629,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=174938">link 174938</a>,
Agriopis marginaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,129,201,1,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=98703">link 98703</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195485">link 195485</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1144536">link 1144536</a>,
Alcis deversata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,97,110,3,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=454131">link 454131</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=151088">link 151088</a>,
Alcis jubata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,19,22,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=176029">link 176029</a>,
Alcis repandata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,160,174,5,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=98680">link 98680</a>,
Aleucis distinctata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,14,18,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=160357">link 160357</a>,
Aleucis orientalis,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,5,8,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=90818">link 90818</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1074989">link 1074989</a>,
Almeria kalischata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,11,13,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257658">link 257658</a>,
