species,Order,Family,source,specimens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Abacarus acutatus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,BOLD:FE,30,30,13,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=656332 ,
Abacarus andrachni,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Abacarus compactus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Abacarus hystrix,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,BOLD:FE,41,41,9,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=656333 ,
Abacarus lolii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,BOLD,6,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=656334 ,
Abacarus longilobus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Abacarus pliszki,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Abacarus stadelbacheri,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Abacarus tucholensis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acalitus brevitarsus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Acalitus calycophthirus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus cotoneastri,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus essigi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Acalitus longisetosus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus notolius,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus orthomerus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus phloeocoptes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,6,6,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1061637 ,
Acalitus phyllereus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Acalitus plicans,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus prunispinosae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Acalitus rudis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acalitus stenaspis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Acaphylla acromia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaphylla theae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaphyllisa fagi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaphyllisa salicobia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaralox arundinaceus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acarelliptus occidentalis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acaricalus cristatus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaricalus dipterochelus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaricalus elegans,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acaricalus halli,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acaricalus hederae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Acaricalus hydrophylli,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acaricalus juniperi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Acaricalus rubrifoliae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
