species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Aaptos aaptos,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,1,5,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240038 
Aaptos papillata,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD:WORMS,2,2,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240051 
Protosuberites rugosus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Pseudosuberites hyalinus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,1,1,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240119 
Pseudosuberites mollis,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Pseudosuberites montiniger,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Pseudosuberites sadko,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Pseudosuberites sulphureus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella biseta,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Rhizaxinella elongata,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella gracilis,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella pyrifera,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella schaudinni,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Rhizaxinella uniseta,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites baffini,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites caminatus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
