species,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Hexaxonopsis armata,Trombidiformes,Aturidae,ES,,,,ES,gap,
Albaxona elegans,Trombidiformes,Aturidae,FE,,,,,gap,
Albaxona lundbladi,Trombidiformes,Aturidae,FE,,,,FE,gap,
Albaxona minuta,Trombidiformes,Aturidae,FE,,,,,gap,
Albia davidsi,Trombidiformes,Aturidae,FE,,,,,gap,
Albia stationis,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus asserculatus,Trombidiformes,Aturidae,FE,,,,ES,gap,
Aturus atlantis,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus barbatulus,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus brachypus,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus brteki,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus comatus,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus crinitus,Trombidiformes,Aturidae,BOLD:FE,2,4,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1080819
Aturus ezoensis,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus fontinalis,Trombidiformes,Aturidae,BOLD:FE,4,4,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=765006
Aturus gallicus,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus intermedius,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus karamani,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus lelgioensis,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus natangensis,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus oudemansi,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus paucisetus,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus polyporus ,Trombidiformes,Aturidae,ES,,,,ES,gap,
Aturus prenanti,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus processiger,Trombidiformes,Aturidae,ES,,,,ES,gap,
Aturus protzi,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus pulchellus,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus rotundus ,Trombidiformes,Aturidae,ES,,,,ES,gap,
Aturus scaber,Trombidiformes,Aturidae,BOLD:FE,4,33,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=752107
Aturus scapulatus ,Trombidiformes,Aturidae,ES,,,,ES,gap,
Aturus spatulifer,Trombidiformes,Aturidae,FE,,,,,gap,
Aturus villosus,Trombidiformes,Aturidae,FE,,,,,gap,
Axonopsalbia mediterranea,Trombidiformes,Aturidae,FE,,,,,gap,
Axonopsis complanata,Trombidiformes,Aturidae,FE,,,,FE,gap,
Barbaxonella angulata,Trombidiformes,Aturidae,FE,,,,FE,gap,
Barbaxonella iberica,Trombidiformes,Aturidae,FE,,,,,gap,
Barbaxonella ovalis,Trombidiformes,Aturidae,FE,,,,,gap,
Barbaxonella pilosa,Trombidiformes,Aturidae,FE,,,,,gap,
Barbaxonella reverendissima,Trombidiformes,Aturidae,FE,,,,,gap,
Barbaxonella spectabilis,Trombidiformes,Aturidae,FE,,,,,gap,
Brachypoda baderi,Trombidiformes,Aturidae,FE,,,,,gap,
Brachypoda celeripes,Trombidiformes,Aturidae,FE,,,,,gap,
Brachypoda modesta,Trombidiformes,Aturidae,FE,,,,,gap,
Brachypoda montiae,Trombidiformes,Aturidae,FE,,,,,gap,
Brachypoda versicolor,Trombidiformes,Aturidae,BOLD:FE,7,11,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=674810
Brachypodopsis cogitata,Trombidiformes,Aturidae,ES:FE,,,,ES,gap,
Brachypodopsis gracilis,Trombidiformes,Aturidae,ES:FE,,,,ES,gap,
Brachypodopsis guadarramensis,Trombidiformes,Aturidae,ES:FE,,,,ES,gap,
Brachypodopsis orghidani,Trombidiformes,Aturidae,ES:FE,,,,ES,gap,
Erebaxonopsis brevipes,Trombidiformes,Aturidae,FE,,,,,gap,
Hexaxonopsalbia lautieni,Trombidiformes,Aturidae,FE,,,,,gap,
Hexaxonopsis armata,Trombidiformes,Aturidae,FE,,,,ES,gap,
Hexaxonopsis romijni,Trombidiformes,Aturidae,FE,,,,ES,gap,
Hexaxonopsis romijni ,Trombidiformes,Aturidae,ES,,,,ES,gap,
Hexaxonopsis serrata,Trombidiformes,Aturidae,BOLD:FE,3,3,1,ES,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1131666
Javalbia bella,Trombidiformes,Aturidae,FE,,,,,gap,
Javalbia eremita,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia albanorum,Trombidiformes,Aturidae,ES,,,,ES,gap,
Kongsbergia angusta,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia arenaria,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia bombifrons,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia callosa,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia clypeata,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia d-motasi,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia dentata,Trombidiformes,Aturidae,FE,,,,,gap,
Kongsbergia elliptica,Trombidiformes,Aturidae,FE,,,,,gap,
